model,gene,variable,statistic,estimate,pval,FDR,hgnc_symbol
lme,ENSG00000004975,median_cv_coverage,seeContrasts,seeContrasts,4.0930668819745445e-7,3.0003877830216166e-6,DVL2
lme,ENSG00000005001,Treatment,seeContrasts,seeContrasts,7.174028424680085e-6,2.9328519699662324e-5,PRSS22
lme,ENSG00000005001,median_cv_coverage,seeContrasts,seeContrasts,0.10236729394545507,0.18978514508046082,PRSS22
lme,ENSG00000005007,Treatment,seeContrasts,seeContrasts,1.8791047046369355e-35,1.1908732484724994e-33,UPF1
lme,ENSG00000005007,median_cv_coverage,seeContrasts,seeContrasts,1.7365236129479836e-4,7.15618681636362e-4,UPF1
lme,ENSG00000005020,Treatment,seeContrasts,seeContrasts,4.052795541795798e-5,1.45722917457834e-4,SKAP2
lme,ENSG00000005020,median_cv_coverage,seeContrasts,seeContrasts,0.022349480093025665,0.052840841236587284,SKAP2
lme,ENSG00000005022,Treatment,seeContrasts,seeContrasts,2.0533673432692895e-11,1.77612367207094e-10,SLC25A5
lme,ENSG00000005022,median_cv_coverage,seeContrasts,seeContrasts,0.5276616375936567,0.6603346447330892,SLC25A5
lme,ENSG00000005059,Treatment,seeContrasts,seeContrasts,4.024645267512189e-12,3.7614590053064864e-11,MCUB
lme,ENSG00000005059,median_cv_coverage,seeContrasts,seeContrasts,4.119494743423541e-5,1.964292652387238e-4,MCUB
lme,ENSG00000005075,Treatment,seeContrasts,seeContrasts,1.2131661143385217e-9,8.512498182965534e-9,POLR2J
lme,ENSG00000005075,median_cv_coverage,seeContrasts,seeContrasts,3.086855750838685e-8,2.8236121005515216e-7,POLR2J
lme,ENSG00000005100,Treatment,seeContrasts,seeContrasts,0.004133957546883821,0.009977069139475183,DHX33
lme,ENSG00000005100,median_cv_coverage,seeContrasts,seeContrasts,0.7647113386477585,0.8463234577186594,DHX33
lme,ENSG00000005108,Treatment,seeContrasts,seeContrasts,0.3902149644972025,0.48383735601036715,THSD7A
lme,ENSG00000005108,median_cv_coverage,seeContrasts,seeContrasts,0.715536739191971,0.809418497392027,THSD7A
lme,ENSG00000005156,Treatment,seeContrasts,seeContrasts,9.105592696316137e-19,1.7040313296505976e-17,LIG3
lme,ENSG00000005156,median_cv_coverage,seeContrasts,seeContrasts,0.35027466584148736,0.493853540963934,LIG3
lme,ENSG00000005175,Treatment,seeContrasts,seeContrasts,0.9061985020318272,0.9274123747842403,RPAP3
lme,ENSG00000005175,median_cv_coverage,seeContrasts,seeContrasts,4.712503141594334e-24,4.744416928692473e-22,RPAP3
lme,ENSG00000005187,Treatment,seeContrasts,seeContrasts,0.47085351360703886,0.5607446912440793,ACSM3
lme,ENSG00000005187,median_cv_coverage,seeContrasts,seeContrasts,0.0982832267833015,0.18375544057851162,ACSM3
lme,ENSG00000005189,Treatment,seeContrasts,seeContrasts,0.38868270450475034,0.4826522857577723,REXO5
lme,ENSG00000005189,median_cv_coverage,seeContrasts,seeContrasts,0.7452610696158114,0.8316870937546451,REXO5
lme,ENSG00000005194,Treatment,seeContrasts,seeContrasts,3.4193495098365716e-6,1.4776308789179663e-5,CIAPIN1
lme,ENSG00000005194,median_cv_coverage,seeContrasts,seeContrasts,9.393066333242794e-6,5.211562823958602e-5,CIAPIN1
lme,ENSG00000005206,Treatment,seeContrasts,seeContrasts,0.06972011889413005,0.11698712354946483,SPPL2B
lme,ENSG00000005206,median_cv_coverage,seeContrasts,seeContrasts,1.96968726403429e-9,2.249232972648489e-8,SPPL2B
lme,ENSG00000005238,Treatment,seeContrasts,seeContrasts,0.965664057060203,0.973929631984317,ATOSB
lme,ENSG00000005238,median_cv_coverage,seeContrasts,seeContrasts,0.0015281436504215751,0.005050525877260751,ATOSB
lme,ENSG00000005243,Treatment,seeContrasts,seeContrasts,0.34312542532128865,0.4374876675685908,COPZ2
lme,ENSG00000005243,median_cv_coverage,seeContrasts,seeContrasts,1.6046869088263205e-6,1.047425304009039e-5,COPZ2
lme,ENSG00000005249,Treatment,seeContrasts,seeContrasts,4.960845091258844e-6,2.088175783716709e-5,PRKAR2B
lme,ENSG00000005249,median_cv_coverage,seeContrasts,seeContrasts,0.9518124858345772,0.9717895514872029,PRKAR2B
lme,ENSG00000005302,Treatment,seeContrasts,seeContrasts,1.7610559997737344e-4,5.66264762247843e-4,MSL3
lme,ENSG00000005302,median_cv_coverage,seeContrasts,seeContrasts,0.15670909094448796,0.2669419727621878,MSL3
lme,ENSG00000005339,Treatment,seeContrasts,seeContrasts,0.08646908084557159,0.14055422736669806,CREBBP
lme,ENSG00000005339,median_cv_coverage,seeContrasts,seeContrasts,0.6971700477716722,0.7962866338697486,CREBBP
lme,ENSG00000005379,Treatment,seeContrasts,seeContrasts,3.988954475933546e-4,0.0011967615776815336,TSPOAP1
lme,ENSG00000005379,median_cv_coverage,seeContrasts,seeContrasts,0.00283804335887402,0.008696735833097484,TSPOAP1
lme,ENSG00000005421,Treatment,seeContrasts,seeContrasts,0.4906885436234217,0.5783478559141797,PON1
lme,ENSG00000005421,median_cv_coverage,seeContrasts,seeContrasts,0.002534929533346062,0.007879512569628402,PON1
lme,ENSG00000005436,Treatment,seeContrasts,seeContrasts,0.08447674389818478,0.1376956209845707,GCFC2
lme,ENSG00000005436,median_cv_coverage,seeContrasts,seeContrasts,1.569475269528906e-12,3.16822882137009e-11,GCFC2
lme,ENSG00000005448,Treatment,seeContrasts,seeContrasts,6.565160212375162e-16,9.357706406653378e-15,WDR54
lme,ENSG00000005448,median_cv_coverage,seeContrasts,seeContrasts,4.505348721450739e-12,8.461225751135408e-11,WDR54
lme,ENSG00000005469,Treatment,seeContrasts,seeContrasts,1.1016337709239176e-6,5.104482491723494e-6,CROT
lme,ENSG00000005469,median_cv_coverage,seeContrasts,seeContrasts,0.17526846891282916,0.2913570420102804,CROT
lme,ENSG00000005471,Treatment,seeContrasts,seeContrasts,0.6435691389159154,0.7146425335242909,ABCB4
lme,ENSG00000005471,median_cv_coverage,seeContrasts,seeContrasts,0.9980548703159964,0.998871198069495,ABCB4
lme,ENSG00000005483,Treatment,seeContrasts,seeContrasts,3.9681823685545366e-4,0.0011907541395321075,KMT2E
lme,ENSG00000005483,median_cv_coverage,seeContrasts,seeContrasts,2.994012030179016e-13,6.962828854394388e-12,KMT2E
lme,ENSG00000005486,Treatment,seeContrasts,seeContrasts,4.729182369116296e-7,2.31041474034192e-6,RHBDD2
lme,ENSG00000005486,median_cv_coverage,seeContrasts,seeContrasts,0.08086860573878815,0.15676053028112394,RHBDD2
lme,ENSG00000005700,Treatment,seeContrasts,seeContrasts,0.04219101826602614,0.07623040976347999,IBTK
lme,ENSG00000005700,median_cv_coverage,seeContrasts,seeContrasts,6.449197030780694e-9,6.713833584334324e-8,IBTK
lme,ENSG00000005801,Treatment,seeContrasts,seeContrasts,0.02327074187670603,0.04568279538846882,ZNF195
lme,ENSG00000005801,median_cv_coverage,seeContrasts,seeContrasts,2.8647893388627815e-17,1.225005484228233e-15,ZNF195
