model,gene,variable,df,statistic,contrast_ref,contrast_lvl,estimate,pval,FDR,std.error,hgnc_symbol
lme.contrast,module_17,Treatment,33.97604649136009,6.73767272674332,(None + None),(None + RV16),-0.241287511385598,9.679070657827383e-8,2.601250239291109e-7,0.03581169955433934,NA
lme.contrast,module_17,Treatment,33.18317946664255,6.56386127289095,(None + None),(CXCL10 + RV16),-0.231922679210097,1.8055310380035144e-7,5.175855642276742e-7,0.035333269483916185,NA
lme.contrast,module_17,Treatment,32.39678734894745,4.02698241961496,(None + None),(IFNb + RV16),-0.140447433146313,3.1933946577904297e-4,6.865798514249424e-4,0.03487659455929336,NA
lme.contrast,module_17,Treatment,32.40684587113225,-0.268469183706957,(None + RV16),(CXCL10 + RV16),0.00936483217550102,0.7900398777993033,0.9343293502360811,0.03488233564163198,NA
lme.contrast,module_17,Treatment,33.20874987034027,-2.85274797336188,(None + RV16),(IFNb + RV16),0.100840078239285,0.007404647666778234,0.01970396786964615,0.035348400623153454,NA
lme.contrast,module_17,Treatment,32.637711279769995,-2.61247436675578,(CXCL10 + RV16),(IFNb + RV16),0.0914752460637837,0.013481395188796166,0.0414004906937542,0.03501479181109805,NA
lme.contrast,module_18,Treatment,33.9803752118406,-1.35474529354967,(None + None),(None + RV16),0.082360795869385,0.1844381114393571,0.19827096979730888,0.06079430300406151,NA
lme.contrast,module_18,Treatment,33.18762237055441,-1.55042774015292,(None + None),(CXCL10 + RV16),0.0930099728954983,0.13052372795399614,0.151689737892482,0.059989879235729335,NA
lme.contrast,module_18,Treatment,32.401684633301656,0.430582831775292,(None + None),(IFNb + RV16),-0.025500033824439,0.669622489988112,0.7198441767372203,0.05922213321720795,NA
lme.contrast,module_18,Treatment,32.41173520339862,-0.179788219286615,(None + RV16),(CXCL10 + RV16),0.0106491770261133,0.8584381574631487,0.9343293502360811,0.059231784309162976,NA
lme.contrast,module_18,Treatment,33.21318370021391,1.79722163849808,(None + RV16),(IFNb + RV16),-0.107860829693824,0.08139882099747549,0.12963515936634984,0.06001531885848105,NA
lme.contrast,module_18,Treatment,32.642433315560325,1.99329060074086,(CXCL10 + RV16),(IFNb + RV16),-0.118510006719937,0.05464278462687705,0.10215824951981362,0.05945445519880022,NA
lme.contrast,module_19,Treatment,33.888006747753366,-7.85630719498591,(None + None),(None + RV16),0.155659707221518,3.888734026896591e-9,1.672155631565534e-8,0.01981334275228744,NA
lme.contrast,module_19,Treatment,33.10850939659111,-7.87544445293612,(None + None),(CXCL10 + RV16),0.153682365259598,4.335159510279959e-9,2.524231695907935e-8,0.01951411963832753,NA
lme.contrast,module_19,Treatment,32.33080620911054,-9.81350672154284,(None + None),(IFNb + RV16),0.188694089966924,3.2162989205941905e-11,4.6100284528516733e-10,0.019227998239681056,NA
lme.contrast,module_19,Treatment,32.34078295716441,0.102817349067652,(None + RV16),(CXCL10 + RV16),-0.00197734196191945,0.9187428416128579,0.9343293502360811,0.019231598362046836,NA
